**********************************************
*******  Acceleration Time Series ************
*** Site #   1
*** trial    1
Input Parameters file =  EXSIM_DMB_M6.5__parameters.out                                                                                          
  8192 samples
dt:  0.005 sec
data format: (1x,f8.3,1p,2x,e11.4)
maximum absolute acceleration: 908.77
fault Dis.(km)=   21.73
Hypo  Dis.(km)=   29.32
  time(s) acc(cm/s**2)
    0.000   0.0000E+00
    0.005   0.0000E+00
    0.010   0.0000E+00
    0.015   0.0000E+00
    0.020   0.0000E+00
    0.025   0.0000E+00
    0.030   0.0000E+00
    0.035   0.0000E+00
    0.040   0.0000E+00
    0.045   0.0000E+00
    0.050   0.0000E+00
    0.055   0.0000E+00
    0.060   0.0000E+00
    0.065   0.0000E+00
    0.070   0.0000E+00
    0.075   0.0000E+00
    0.080   0.0000E+00
    0.085   0.0000E+00
    0.090   0.0000E+00
    0.095   0.0000E+00
    0.100   0.0000E+00
    0.105   0.0000E+00
    0.110   0.0000E+00
    0.115   0.0000E+00
    0.120   0.0000E+00
    0.125   0.0000E+00
    0.130   0.0000E+00
    0.135   0.0000E+00
    0.140   0.0000E+00
    0.145   0.0000E+00
    0.150   0.0000E+00
    0.155   0.0000E+00
    0.160   0.0000E+00
    0.165   0.0000E+00
    0.170   0.0000E+00
    0.175   0.0000E+00
    0.180   0.0000E+00
    0.185   0.0000E+00
    0.190   0.0000E+00
    0.195   0.0000E+00
    0.200   0.0000E+00
    0.205   0.0000E+00
    0.210   0.0000E+00
    0.215   0.0000E+00
    0.220   0.0000E+00
    0.225   0.0000E+00
    0.230   0.0000E+00
    0.235   0.0000E+00
    0.240  -3.9371E-04
    0.245  -3.9267E-04
    0.250  -3.8939E-04
    0.255  -3.9019E-04
    0.260  -3.9058E-04
    0.265  -3.9340E-04
    0.270  -3.9421E-04
    0.275  -3.9942E-04
    0.280  -4.0291E-04
    0.285  -4.1209E-04
    0.290  -4.2102E-04
    0.295  -4.3442E-04
    0.300  -4.4981E-04
    0.305  -4.6743E-04
    0.310  -4.8550E-04
    0.315  -5.1108E-04
    0.320  -5.3697E-04
    0.325  -5.6780E-04
    0.330  -5.9952E-04
    0.335  -6.3349E-04
    0.340  -6.6790E-04
    0.345  -7.0299E-04
    0.350  -7.3611E-04
    0.355  -7.7031E-04
    0.360  -8.0432E-04
    0.365  -8.3764E-04
    0.370  -8.6787E-04
    0.375  -8.9978E-04
    0.380  -9.2724E-04
    0.385  -9.6274E-04
    0.390  -9.9115E-04
    0.395  -1.0239E-03
    0.400  -1.0519E-03
    0.405  -1.0890E-03
    0.410  -1.1211E-03
    0.415  -1.1621E-03
    0.420  -1.1975E-03
    0.425  -1.2391E-03
    0.430  -1.2776E-03
    0.435  -1.3223E-03
    0.440  -1.3638E-03
    0.445  -1.4071E-03
    0.450  -1.4456E-03
    0.455  -1.4879E-03
    0.460  -1.5262E-03
    0.465  -1.5630E-03
    0.470  -1.5997E-03
    0.475  -1.6350E-03
