**********************************************
*******  Husid Time Series ************
*** Site #   1
*** trial    1
Input Parameters file =  EXSIM_DMB_M6.5__parameters.out                                                                                          
  8192 samples
dt:  0.005 sec
data format: (1x,f8.3,1p,2x,e11.4)
 Arias intensity =   6.719E+02
 75%-5% duration =   6.165E+00
fault Dis.(km)=   18.83
Hypo  Dis.(km)=   22.76
     time       husid
    0.000  0.0000E+00
    0.005  0.0000E+00
    0.010  0.0000E+00
    0.015  0.0000E+00
    0.020  0.0000E+00
    0.025  0.0000E+00
    0.030  0.0000E+00
    0.035  0.0000E+00
    0.040  0.0000E+00
    0.045  0.0000E+00
    0.050  0.0000E+00
    0.055  0.0000E+00
    0.060  0.0000E+00
    0.065  0.0000E+00
    0.070  0.0000E+00
    0.075  0.0000E+00
    0.080  0.0000E+00
    0.085  0.0000E+00
    0.090  0.0000E+00
    0.095  0.0000E+00
    0.100  0.0000E+00
    0.105  0.0000E+00
    0.110  0.0000E+00
    0.115  0.0000E+00
    0.120  0.0000E+00
    0.125  0.0000E+00
    0.130  0.0000E+00
    0.135  0.0000E+00
    0.140  0.0000E+00
    0.145  0.0000E+00
    0.150  0.0000E+00
    0.155  0.0000E+00
    0.160  0.0000E+00
    0.165  0.0000E+00
    0.170  0.0000E+00
    0.175  0.0000E+00
    0.180  0.0000E+00
    0.185  0.0000E+00
    0.190  0.0000E+00
    0.195  0.0000E+00
    0.200  0.0000E+00
    0.205  0.0000E+00
    0.210  0.0000E+00
    0.215  0.0000E+00
    0.220  0.0000E+00
    0.225  0.0000E+00
    0.230  0.0000E+00
    0.235  0.0000E+00
    0.240  0.0000E+00
    0.245  0.0000E+00
    0.250  0.0000E+00
    0.255  0.0000E+00
    0.260  0.0000E+00
    0.265  0.0000E+00
    0.270  0.0000E+00
    0.275  0.0000E+00
    0.280  2.8516E-14
    0.285  1.1460E-13
    0.290  2.0184E-13
    0.295  2.9023E-13
    0.300  3.7973E-13
    0.305  4.7039E-13
    0.310  5.6227E-13
    0.315  6.5547E-13
    0.320  7.5007E-13
    0.325  8.4614E-13
    0.330  9.4370E-13
    0.335  1.0428E-12
    0.340  1.1435E-12
    0.345  1.2457E-12
    0.350  1.3494E-12
    0.355  1.4546E-12
    0.360  1.5612E-12
    0.365  1.6693E-12
    0.370  1.7788E-12
    0.375  1.8896E-12
    0.380  2.0018E-12
    0.385  2.1152E-12
    0.390  2.2299E-12
    0.395  2.3460E-12
    0.400  2.4637E-12
    0.405  2.5825E-12
    0.410  2.7028E-12
    0.415  2.8244E-12
    0.420  2.9471E-12
    0.425  3.0705E-12
    0.430  3.1943E-12
    0.435  3.3182E-12
    0.440  3.4417E-12
    0.445  3.5644E-12
    0.450  3.6856E-12
    0.455  3.8049E-12
    0.460  3.9217E-12
    0.465  4.0354E-12
    0.470  4.1459E-12
    0.475  4.2527E-12
    0.480  4.3559E-12
    0.485  4.4552E-12
    0.490  4.5507E-12
