**********************************************
*******  Average PSA and Fourier spectrum over     1 simulations  *******
*******     Site #   1
damping:   5%
  99 samples
Mag.                               =     6.50
siteLat                            =    13.68
siteLon                            =   -18.60
depth                              =     1.00
distance from fault origin to site =    23.09
azimuth from fault origin to site  =   306.33
fault Dis.(km)                     =    18.63
Hypo  Dis.(km)                     =    20.33
Input Parameters file =  EXSIM_DMB_M6.5__parameters.out                                                                                          
 data format: (1x,f10.3, 1p, 1x,e11.4, 5x,e11.4, 2x,e11.4, 1x,e11.4)
   freq(Hz)     per(s) FAS(cm/sec) avgPSA(cm/s**2) avgPSV(cm/s)   avgSD(cm)        minY        maxY
     -1.000        NaN         NaN             NaN   9.6853E+01         NaN
    999.900      0.000         NaN      1.1501E+03          NaN         NaN  1.1501E+03  1.1501E+03
      0.010    100.000         NaN      2.6013E-01  4.1402E+00  6.5893E+01
      0.011     91.030         NaN      3.1676E-01  4.5891E+00  6.6487E+01
      0.012     82.864         NaN      3.8627E-01  5.0942E+00  6.7183E+01
      0.013     75.431         NaN      4.7179E-01  5.6639E+00  6.7997E+01
      0.015     68.665         NaN      5.7728E-01  6.3087E+00  6.8944E+01
      0.016     62.506         NaN      7.0773E-01  7.0405E+00  7.0040E+01
      0.018     56.899         NaN      8.6945E-01  7.8735E+00  7.1300E+01
      0.019     51.795         NaN      1.0704E+00  8.8236E+00  7.2736E+01
      0.021     47.149         NaN      1.3205E+00  9.9092E+00  7.4358E+01
      0.023     42.919         NaN      1.6323E+00  1.1150E+01  7.6164E+01
      0.026     39.069         NaN      2.0211E+00  1.2567E+01  7.8144E+01
      0.028     35.565         NaN      2.5053E+00  1.4181E+01  8.0269E+01
      0.031     32.375         NaN      3.1069E+00  1.6009E+01  8.2486E+01
      0.034     29.471         NaN      3.8506E+00  1.8061E+01  8.4711E+01
      0.037     26.827         NaN      4.7629E+00  2.0336E+01  8.6827E+01
      0.041     24.421         NaN      5.8702E+00  2.2815E+01  8.8675E+01
      0.045     22.230         NaN      7.1950E+00  2.5456E+01  9.0063E+01
      0.049     20.236         NaN      8.7503E+00  2.8182E+01  9.0763E+01
      0.054     18.421         NaN      1.0535E+01  3.0885E+01  9.0546E+01
      0.060     16.768         NaN      1.2525E+01  3.3426E+01  8.9205E+01
      0.066     15.264         NaN      1.4674E+01  3.5649E+01  8.6603E+01
      0.072     13.895         NaN      1.7758E+01  3.9272E+01  8.6848E+01
      0.079     12.649  6.7935E+01      2.3669E+01   4.7648E+01  9.5919E+01
      0.087     11.514  6.7935E+01      3.2382E+01   5.9340E+01  1.0874E+02
      0.095     10.481  6.7935E+01      4.2679E+01   7.1194E+01  1.1876E+02
      0.105      9.541  9.5315E+01      5.3772E+01   8.1653E+01  1.2399E+02
      0.115      8.685  9.5315E+01      6.7107E+01   9.2761E+01  1.2822E+02
      0.126      7.906  1.1245E+02      8.2974E+01   1.0440E+02  1.3137E+02
      0.139      7.197  1.1245E+02      9.4103E+01   1.0779E+02  1.2346E+02
      0.153      6.551  1.1601E+02      1.0720E+02   1.1177E+02  1.1654E+02
      0.168      5.964  1.1601E+02      1.0833E+02   1.0282E+02  9.7589E+01
      0.184      5.429  1.1242E+02      9.9105E+01   8.5626E+01  7.3981E+01
      0.202      4.942  1.0125E+02      8.0988E+01   6.3697E+01  5.0097E+01
      0.222      4.498  8.0219E+01      8.6327E+01   6.1806E+01  4.4250E+01
      0.244      4.095  8.5094E+01      1.0025E+02   6.5336E+01  4.2581E+01
      0.268      3.728  8.5094E+01      1.3805E+02   8.1901E+01  4.8589E+01
      0.295      3.393  1.6902E+02      2.0847E+02   1.1259E+02  6.0802E+01
      0.324      3.089  1.8416E+02      2.9003E+02   1.4258E+02  7.0093E+01
      0.356      2.812  1.8418E+02      3.0357E+02   1.3585E+02  6.0793E+01
      0.391      2.560  1.4351E+02      2.3930E+02   9.7483E+01  3.9711E+01
      0.429      2.330  9.2836E+01      2.6345E+02   9.7694E+01  3.6227E+01
      0.471      2.121  9.8626E+01      3.3280E+02   1.1234E+02  3.7921E+01
      0.518      1.931  1.9174E+02      4.8096E+02   1.4779E+02  4.5413E+01
      0.569      1.758  3.1322E+02      7.2071E+02   2.0160E+02  5.6389E+01
      0.625      1.600  3.7985E+02      8.6436E+02   2.2009E+02  5.6040E+01
      0.687      1.456  2.7918E+02      7.1242E+02   1.6513E+02  3.8274E+01
      0.754      1.326  1.7310E+02      7.5238E+02   1.5875E+02  3.3495E+01
      0.829      1.207  2.2436E+02      8.7001E+02   1.6710E+02  3.2095E+01
      0.910      1.099  1.5659E+02      1.0157E+03   1.7758E+02  3.1048E+01
      1.000      1.000  3.0519E+02      9.6038E+02   1.5285E+02  2.4327E+01
      1.099      0.910  2.9953E+02      1.0754E+03   1.5581E+02  2.2573E+01
      1.207      0.829  3.7789E+02      1.3541E+03   1.7859E+02  2.3553E+01
      1.326      0.754  1.7955E+02      1.6734E+03   2.0090E+02  2.4118E+01
      1.456      0.687  3.1363E+02      1.8261E+03   1.9956E+02  2.1809E+01
      1.600      0.625  5.0043E+02      2.0018E+03   1.9914E+02  1.9811E+01
      1.758      0.569  3.8001E+02      2.1375E+03   1.9357E+02  1.7529E+01
      1.931      0.518  1.3946E+02      1.7608E+03   1.4515E+02  1.1965E+01
      2.121      0.471  2.5492E+02      1.8163E+03   1.3630E+02  1.0228E+01
      2.330      0.429  1.4003E+02      2.0398E+03   1.3933E+02  9.5176E+00
      2.560      0.391  1.5775E+02      2.0562E+03   1.2786E+02  7.9501E+00
      2.812      0.356  2.4231E+02      2.1755E+03   1.2314E+02  6.9702E+00
      3.089      0.324  2.0378E+02      2.5255E+03   1.3013E+02  6.7050E+00
      3.393      0.295  1.9279E+02      2.8343E+03   1.3294E+02  6.2353E+00
      3.728      0.268  1.6071E+02      2.9963E+03   1.2793E+02  5.4623E+00
      4.095      0.244  2.8279E+02      3.3046E+03   1.2844E+02  4.9920E+00
      4.498      0.222  2.0446E+02      2.4689E+03   8.7348E+01  3.0904E+00
      4.942      0.202  3.6150E+02      2.5705E+03   8.2787E+01  2.6663E+00
      5.429      0.184  2.4601E+02      2.8509E+03   8.3582E+01  2.4504E+00
      5.964      0.168  1.4751E+02      2.8917E+03   7.7172E+01  2.0595E+00
      6.551      0.153  2.8044E+02      2.5746E+03   6.2547E+01  1.5195E+00
      7.197      0.139  1.1002E+02      2.4419E+03   5.4001E+01  1.1942E+00
      7.906      0.126  7.1379E+01      3.3698E+03   6.7836E+01  1.3656E+00
      8.685      0.115  1.5542E+02      2.9513E+03   5.4082E+01  9.9106E-01
      9.541      0.105  1.4302E+02      4.0498E+03   6.7556E+01  1.1269E+00
     10.481      0.095  8.2119E+01      4.4261E+03   6.7209E+01  1.0206E+00
     11.514      0.087  1.0925E+02      3.1132E+03   4.3034E+01  5.9484E-01
     12.649      0.079  1.9424E+02      2.8569E+03   3.5948E+01  4.5233E-01
     13.895      0.072  1.4165E+02      2.0995E+03   2.4048E+01  2.7545E-01
     15.264      0.066  1.0827E+02      2.3095E+03   2.4081E+01  2.5108E-01
     16.768      0.060  6.1275E+01      2.0914E+03   1.9850E+01  1.8841E-01
     18.421      0.054  8.5142E+01      2.0409E+03   1.7633E+01  1.5235E-01
     20.236      0.049  8.4487E+01      2.8747E+03   2.2610E+01  1.7782E-01
     22.230      0.045  6.4818E+01      2.4358E+03   1.7439E+01  1.2485E-01
     24.421      0.041  3.8639E+01      2.2534E+03   1.4686E+01  9.5713E-02
     26.827      0.037  3.9979E+01      2.1047E+03   1.2486E+01  7.4077E-02
     29.471      0.034  3.0897E+01      1.8728E+03   1.0114E+01  5.4620E-02
     32.375      0.031  3.0236E+01      1.6520E+03   8.1215E+00  3.9926E-02
     35.565      0.028  1.6925E+01      1.7050E+03   7.6301E+00  3.4145E-02
     39.069      0.026  1.8832E+01      1.5745E+03   6.4141E+00  2.6129E-02
     42.919      0.023  6.1753E+00      1.5990E+03   5.9293E+00  2.1987E-02
     47.149      0.021  1.2410E+01      1.4465E+03   4.8828E+00  1.6482E-02
     51.795      0.019  4.0981E+00      1.3337E+03   4.0983E+00  1.2593E-02
     56.899      0.018  4.4713E+00      1.2495E+03   3.4952E+00  9.7765E-03
     62.506      0.016  2.7791E+00      1.2135E+03   3.0899E+00  7.8677E-03
     68.665      0.015  1.3587E+00      1.2011E+03   2.7839E+00  6.4527E-03
     75.431      0.013  5.2153E-01      1.1853E+03   2.5008E+00  5.2765E-03
     82.864      0.012  9.4871E-01      1.1781E+03   2.2628E+00  4.3460E-03
     91.030      0.011  2.7598E-01      1.1656E+03   2.0380E+00  3.5631E-03
    100.000      0.010  5.4397E+01      1.1553E+03   1.8387E+00  2.9264E-03
 
 
